Disease,OPCS4code,OPCS4codeDescr,Category,ICD10code,ICD10codeDescr
Ptosis of eyelid,C181,Correction of ptosis of eyelid using levator muscle technique,Procedure for Ptosis of eyelid,,
Ptosis of eyelid,C182,Correction of ptosis of eyelid using frontalis muscle technique,Procedure for Ptosis of eyelid,,
Ptosis of eyelid,C183,Correction of ptosis of eyelid using sling of fascia,Procedure for Ptosis of eyelid,,
Ptosis of eyelid,C184,Correction of ptosis of eyelid using superior rectus muscle technique,Procedure for Ptosis of eyelid,,
Ptosis of eyelid,C185,Tarsomullerectomy,Procedure for Ptosis of eyelid,,
Ptosis of eyelid,C186,Correction of ptosis of eyelid using aponeurosis technique,Procedure for Ptosis of eyelid,,
Ptosis of eyelid,C188,Other specified correction of ptosis of eyelid,Procedure for Ptosis of eyelid,,
Ptosis of eyelid,C189,Unspecified correction of ptosis of eyelid,Procedure for Ptosis of eyelid,,
Respiratory distress of newborn,,,Diagnosis of Respiratory distress of newborn,P22,Respiratory distress of newborn
Erectile dysfunction,,,Possible diagnosis of erectile dysfunction,F522,Failure of genital response
Erectile dysfunction,,,Diagnosis of erectile dysfunction,N484,Impotence of organic origin
Pulmonary embolism,,,Diagnosis of Pulmonary embolism,I26,Pulmonary embolism
Keratitis,,,Diagnosis of Keratitis,H16,Keratitis
Keratitis,,,Diagnosis of Keratitis,H191,Herpesviral keratitis and keratoconjunctivitis
Keratitis,,,Diagnosis of Keratitis,H192,Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere
Keratitis,,,Diagnosis of Keratitis,H193,Keratitis and keratoconjunctivitis in other diseases classified elsewhere
Primary Malignancy_Prostate,,,Diagnosis of Primary Malignancy_Prostate,C61,Malignant neoplasm of prostate
Chronic viral hepatitis,,,Diagnosis of Chronic viral hepatitis,B18,Chronic viral hepatitis
Intrauterine hypoxia,,,Diagnosis of Intrauterine hypoxia,P20,Intrauterine hypoxia
Intrauterine hypoxia,,,Diagnosis of Intrauterine hypoxia,P240,Neonatal aspiration of meconium
Volvulus,,,Diagnosis of Volvulus,K562,Volvulus
Lichen planus,,,Diagnosis of Lichen planus,L43,Lichen planus
Lichen planus,,,Diagnosis of Lichen planus,L661,Lichen planopilaris
Lupus erythematosus (local and systemic),,,Diagnosis of Lupus erythematosus (local and systemic),L93,Lupus erythematosus
Lupus erythematosus (local and systemic),,,Diagnosis of Lupus erythematosus (local and systemic),M32,Systemic lupus erythematosus
Stable angina,,,Stable angina admission (4),I201,Angina pectoris with documented spasm
Stable angina,,,Stable angina admission (4),I208,Other forms of angina pectoris
Stable angina,,,Stable angina admission (4),I209,"Angina pectoris, unspecified"
Trigeminal neuralgia,,,Diagnosis of trigeminal neuralgia,G500,Trigeminal neuralgia
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic"
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N140,Analgesic nephropathy
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N141,"Nephropathy induced by other drugs, medicaments and biological substances"
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N142,"Nephropathy induced by unspecified drug, medicament or biological substance"
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N143,Nephropathy induced by heavy metals
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N144,"Toxic nephropathy, not elsewhere classified"
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N158,Other specified renal tubulo-interstitial diseases
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N159,"Renal tubulo-interstitial disease, unspecified"
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N161,Renal tubulo-interstitial disorders in neoplastic diseases
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N162,Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N163,Renal tubulo-interstitial disorders in metabolic diseases
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N164,Renal tubulo-interstitial disorders in systemic connective tissue disorders
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N165,Renal tubulo-interstitial disorders in transplant rejection
Tubulo-interstitial nephritis,,,Diagnosis of Tubulo-interstitial nephritis,N168,Renal tubulo-interstitial disorders in other diseases classified elsewhere
Pilonidal cyst/sinus,H591,Excision of pilonidal sinus and Z plasty skin flap HFQ,Procedure for Pilonidal cyst,,
Pilonidal cyst/sinus,H592,Excision of pilonidal sinus and skin flap NEC,Procedure for Pilonidal cyst,,
Pilonidal cyst/sinus,H593,Excision of pilonidal sinus and skin graft HFQ,Procedure for Pilonidal cyst,,
Pilonidal cyst/sinus,H594,Excision of pilonidal sinus and suture HFQ,Procedure for Pilonidal cyst,,
Pilonidal cyst/sinus,H598,Other specified excision of pilonidal sinus,Procedure for Pilonidal cyst,,
Pilonidal cyst/sinus,H599,Unspecified excision of pilonidal sinus,Procedure for Pilonidal cyst,,
Pilonidal cyst/sinus,H601,Destruction of pilonidal sinus,Procedure for Pilonidal cyst,,
Pilonidal cyst/sinus,H602,Laying open of pilonidal sinus,Procedure for Pilonidal cyst,,
Pilonidal cyst/sinus,H603,Drainage of pilonidal sinus,Procedure for Pilonidal cyst,,
Pilonidal cyst/sinus,H604,Injection of radiocontrast substance into pilonidal sinus,Procedure for Pilonidal cyst,,
Pilonidal cyst/sinus,H608,Other specified other operations on pilonidal sinus,Procedure for Pilonidal cyst,,
Pilonidal cyst/sinus,H609,Unspecified other operations on pilonidal sinus,Procedure for Pilonidal cyst,,
Acute Kidney Injury,,,Diagnosis of Acute Kidney Injury,N170,Acute renal failure with tubular necrosis
Acute Kidney Injury,,,Diagnosis of Acute Kidney Injury,N171,Acute renal failure with acute cortical necrosis
Acute Kidney Injury,,,Diagnosis of Acute Kidney Injury,N172,Acute renal failure with medullary necrosis
Acute Kidney Injury,,,Diagnosis of Acute Kidney Injury,N178,Other acute renal failure
Acute Kidney Injury,,,Diagnosis of Acute Kidney Injury,N179,"Acute renal failure, unspecified"
Endometriosis,,,Diagnosis of Endometriosis,N80,Endometriosis
Dementia,,,Diagnosis of Dementia,F00,Dementia in Alzheimer's disease
Dementia,,,Diagnosis of Dementia,F01,Vascular dementia
Dementia,,,Diagnosis of Dementia,F03,Unspecified dementia
Dementia,,,Diagnosis of Dementia,F051,Delirium superimposed on dementia
Dementia,,,Diagnosis of Dementia,G30,Alzheimer's disease
Personality disorders,,,Diagnosis of Personality disorders,F60,Specific personality disorders
Personality disorders,,,Diagnosis of Personality disorders,F61,Mixed and other personality disorders
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A00,Cholera
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A01,Typhoid and paratyphoid fevers
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A02,Other salmonella infections
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A03,Shigellosis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A04,Other bacterial intestinal infections
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A05,"Other bacterial foodborne intoxications, not elsewhere classified"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A20,Plague
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A21,Tularaemia
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A22,Anthrax
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A23,Brucellosis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A24,Glanders and melioidosis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A25,Rat-bite fevers
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A26,Erysipeloid
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A27,Leptospirosis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A28,"Other zoonotic bacterial diseases, not elsewhere classified"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A30,Leprosy [Hansen's disease]
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A31,Infection due to other mycobacteria
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A32,Listeriosis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A35,Other tetanus
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A36,Diphtheria
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A37,Whooping cough
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A38,Scarlet fever
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A39,Meningococcal infection
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A40,Streptococcal sepsis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A410,Sepsis due to Staphylococcus aureus
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A411,Sepsis due to other specified staphylococcus
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A412,Sepsis due to unspecified staphylococcus
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A413,Sepsis due to Haemophilus influenzae
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A414,Sepsis due to anaerobes
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A415,Sepsis due to other Gram-negative organisms
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A42,Actinomycosis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A43,Nocardiosis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A44,Bartonellosis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A46,Erysipelas
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A48,"Other bacterial diseases, not elsewhere classified"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A49,Bacterial infection of unspecified site
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A50,Congenital syphilis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A51,Early syphilis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A52,Late syphilis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A53,Other and unspecified syphilis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A54,Gonococcal infection
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A55,Chlamydial lymphogranuloma (venereum)
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A56,Other sexually transmitted chlamydial diseases
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A57,Chancroid
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A58,Granuloma inguinale
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A65,Nonvenereal syphilis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A66,Yaws
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A67,Pinta [carate]
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A68,Relapsing fevers
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A69,Other spirochaetal infections
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A70,Chlamydia psittaci infection
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A71,Trachoma
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A74,Other diseases caused by chlamydiae
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A75,Typhus fever
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A77,Spotted fever [tick-borne rickettsioses]
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A78,Q fever
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),A79,Other rickettsioses
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),B201,HIV disease resulting in other bacterial infections
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),B92,Sequelae of leprosy
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),B940,Sequelae of trachoma
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),B96,Other specified bacterial agents as the cause of diseases classified to other chapters
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),B980,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),B981,Vibrio vulnificus as the cause of diseases classified to other chapters
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),G00,"Bacterial meningitis, not elsewhere classified"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),G01,Meningitis in bacterial diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),G042,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),G050,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),H620,Otitis externa in bacterial diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),H670,Otitis media in bacterial diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),I00,Rheumatic fever without mention of heart involvement
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),I01,Rheumatic fever with heart involvement
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),I02,Rheumatic chorea
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),I05,Rheumatic mitral valve diseases
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),I06,Rheumatic aortic valve diseases
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),I07,Rheumatic tricuspid valve diseases
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),I09,Other rheumatic heart diseases
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),I320,Pericarditis in bacterial diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),I410,Myocarditis in bacterial diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),I980,Cardiovascular syphilis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J020,Streptococcal pharyngitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J030,Streptococcal tonsillitis
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J13,Pneumonia due to Streptococcus pneumoniae
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J14,Pneumonia due to Haemophilus influenzae
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J15,"Bacterial pneumonia, not elsewhere classified"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J160,Chlamydial pneumonia
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J170,Pneumonia in bacterial diseases classified elsewhere
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J200,Acute bronchitis due to Mycoplasma pneumoniae
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J201,Acute bronchitis due to Haemophilus influenzae
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J202,Acute bronchitis due to streptococcus
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J340,"Abscess, furuncle and carbuncle of nose"
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J36,Peritonsillar abscess
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J390,Retropharyngeal and parapharyngeal abscess
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J391,Other abscess of pharynx
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),J86,Pyothorax
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),K61,Abscess of anal and rectal regions
Bacterial Diseases (excl TB),,,Diagnosis of Bacterial Diseases (excl TB),K630,Abscess of intestine
