read2_code,phecode
A00..,8.0
A000.,8.0
A01..,8.0
A010.,8.5
A012.,8.0
A01z.,8.0
A02..,8.5
A020.,8.5
A021.,38.1
A02y.,8.5
A02z.,8.5
A03..,8.5
A030.,8.5
A031.,8.5
A032.,8.5
A033.,8.5
A03z.,8.5
A04..,8.0
A041.,8.5
A043.,8.5
A044.,8.5
A04z.,8.0
A05..,8.0
A050.,8.0
A052.,8.0
A05y0,8.0
A061.,8.7
A062.,8.0
A064.,8.7
A070.,8.51
A074.,8.5
A0741,8.5
A0743,8.5
A0745,8.5
A074z,8.6
A075.,8.5
A076.,8.6
A0761,8.6
A0762,8.6
A0763,8.6
A07y0,8.6
A07z.,8.6
A08..,8.0
A0y..,8.6
A1...,10.0
A10..,10.0
A100.,10.0
A10z.,10.0
A11..,10.0
A111.,10.0
A114.,10.0
A115.,10.0
A116.,10.0
A11y.,10.0
A11z.,10.0
A12..,10.0
A1200,10.0
A120z,10.0
A1210,10.0
A123.,10.0
A124.,10.0
A124.,41.0
A1243,10.0
A1247,10.0
A125.,10.0
A1252,10.0
A16..,10.0
A168.,10.0
A16z.,10.0
A170.,10.0
A1701,10.0
A171.,10.0
A1711,10.0
A171z,10.0
A172.,10.0
A1720,10.0
A1722,10.0
A173.,10.0
A1800,10.0
A1y..,10.0
A1z..,10.0
A23..,41.0
A23z.,41.0
A261.,711.0
A2700,41.0
A2712,529.1
A2712,41.0
A272.,41.0
A2720,41.0
A3...,41.0
A301.,31.1
A31..,31.0
A310.,480.1
A3100,480.1
A311.,686.0
A31z.,31.0
A32..,41.0
A33..,41.0
A330.,41.0
A33z.,41.0
A340.,465.0
A3401,465.4
A3402,465.0
A3403,41.2
A3403,465.0
A340z,465.0
A341.,41.2
A35..,686.0
A36..,41.0
A362.,38.1
A37..,41.0
A38..,994.2
A38..,38.0
A380.,38.1
A3800,38.1
A3801,41.2
A3801,38.1
A381.,38.2
A3810,38.2
A382.,38.2
A384.,38.1
A3840,38.1
A3842,38.1
A3843,38.1
A3844,38.1
A38y.,38.0
A38z.,994.2
A38z.,38.0
A39..,41.0
A390.,41.0
A39y.,41.0
A3A..,41.0
A3A0.,41.0
A3A02,41.0
A3A3.,41.0
A3A4.,480.1
A3A40,41.0
A3Ay1,41.0
A3Ay2,8.52
A3B0.,41.2
A3B00,41.2
A3B01,41.2
A3B1.,41.1
A3B12,41.1
A3B2.,41.2
A3B4.,41.0
A3B5.,41.0
A3B6.,41.0
A3B61,41.0
A3B7.,41.0
A3BC.,41.0
A3BD.,41.0
A3BX1,41.2
A3BX2,41.2
A3BX4,41.2
A3BX7,41.1
A3BX9,41.1
A3BXA,480.1
A3BXB,480.1
A3By.,41.0
A3By2,41.0
A3By3,41.0
A3By6,41.0
A3By7,41.0
A3By8,41.0
A3Bz.,41.0
A3C..,994.2
A3C..,38.0
A3C0.,38.1
A3C00,38.1
A3C0y,38.1
A3C3.,38.1
A3Cy.,38.0
A3Cz.,994.2
A3Cz.,38.0
A3y..,41.0
A3z..,41.0
A40..,324.0
A401.,324.0
A403.,324.0
A40z.,324.0
A41..,324.0
A413.,324.0
A42z.,320.0
A4z..,323.0
A4zy3,323.0
A4zz.,323.0
A50..,79.0
A512.,79.0
A52..,79.1
A52z.,79.1
A53..,53.0
A532.,369.2
A5323,369.2
A532z,369.2
A53x.,53.0
A53xz,53.0
A53y.,53.0
A53z.,53.0
A54..,54.0
A540.,54.0
A541.,54.0
A5410,54.0
A5414,54.0
A5415,54.0
A541z,54.0
A542.,54.0
A544.,369.2
A5440,369.2
A544z,369.2
A548.,54.0
A54x.,79.0
A54x.,54.0
A54x3,54.0
A54z.,54.0
A55..,79.0
A55z.,79.0
A56..,79.0
A56z.,79.0
A570.,79.0
A57y0,54.0
A57z.,79.0
A5z..,79.0
A60..,79.0
A620.,323.0
A625.,323.0
A63..,323.0
A630.,323.0
A654.,79.0
A661.,79.0
A6632,79.0
A70..,70.0
A701.,70.1
A703.,70.2
A7030,70.2
A7050,70.3
A7052,70.0
A7054,70.0
A707.,70.0
A7070,70.2
