read2_code,phecode
A010.,8.5
A011.,8.0
A012.,8.0
A01z.,8.0
A02..,8.5
A020.,8.5
A021.,38.1
A022z,8.5
A02y.,8.5
A02z.,8.5
A03..,8.5
A030.,8.5
A031.,8.5
A032.,8.5
A03y.,8.5
A03z.,8.5
A04..,8.0
A044.,8.5
A04z.,8.0
A05..,8.0
A050.,8.0
A051.,8.7
A056.,8.0
A05y0,8.0
A05z.,8.0
A060.,8.7
A061.,8.7
A062.,8.0
A070.,8.51
A0731,8.5
A074.,8.5
A0743,8.5
A074y,8.5
A074z,8.5
A075.,8.5
A076.,8.6
A0761,8.6
A0762,8.6
A076z,8.6
A07y0,8.6
A07z.,8.6
A1...,10.0
A10..,10.0
A100.,10.0
A10z.,10.0
A11..,10.0
A110.,10.0
A111.,10.0
A112.,10.0
A114.,10.0
A115.,10.0
A116.,10.0
A11y.,10.0
A11z.,10.0
A12..,10.0
A120.,10.0
A1201,10.0
A1202,10.0
A120z,10.0
A121.,10.0
A1210,10.0
A1211,10.0
A121z,10.0
A122.,10.0
A123.,10.0
A1240,10.0
A1241,10.0
A1243,10.0
A1246,10.0
A1252,10.0
A14..,10.0
A15..,10.0
A16..,10.0
A17..,10.0
A1700,10.0
A1702,10.0
A1703,10.0
A171.,10.0
A1710,10.0
A171z,10.0
A1720,10.0
A172z,10.0
A17z.,10.0
A18..,10.0
A180.,10.0
A1y..,10.0
A1z..,10.0
A20..,41.0
A200.,41.0
A201.,686.0
A22..,41.0
A23..,41.0
A23z.,41.0
A261.,711.0
A270.,41.0
A2701,41.0
A2710,41.0
A2720,41.0
A2721,41.0
A27y.,41.0
A30..,31.1
A30z.,31.1
A31..,31.0
A31y.,31.0
A31z.,31.0
A32..,41.0
A32z.,41.0
A33z.,41.0
A34..,465.0
A340.,465.0
A3401,465.4
A3402,465.0
A3403,41.2
A3403,465.0
A340z,465.0
A341.,41.2
A34z.,465.0
A35..,686.0
A36..,41.0
A362.,38.1
A36yz,41.0
A36z.,41.0
A37..,41.0
A38..,994.2
A38..,38.0
A380.,38.1
A3800,38.1
A381.,38.2
A3810,38.2
A3811,38.2
A382.,38.2
A384.,38.1
A3840,38.1
A3841,38.1
A3842,38.1
A3843,38.1
A38z.,994.2
A38z.,38.0
A39..,41.0
A392.,41.0
A39z1,41.0
A39zz,41.0
A3A1.,41.0
A3A3.,41.0
A3Ay.,41.0
A3Ay0,712.0
A3Ay1,41.0
A3Ay2,8.52
A3Ayz,41.0
A3B0.,41.2
A3B1.,41.1
A3B11,41.1
A3B2.,41.2
A3B4.,41.0
A3B5.,41.0
A3B6.,41.0
A3B60,41.0
A3B6z,41.0
A3B7.,41.0
A3By.,41.0
A3By2,41.0
A3By3,41.0
A3By4,480.1
A3By5,41.0
A3By6,41.0
A3Byz,41.0
A3Bz.,41.0
A3z..,41.0
A40..,324.0
A402.,324.0
A403.,324.0
A40z.,324.0
A411.,324.1
A413.,324.0
A42y.,320.0
A42z.,320.0
A4z..,323.0
A4zy2,323.0
A4zy3,323.0
A4zz.,323.0
A5...,79.0
A50..,79.0
A50z.,79.0
A512.,79.0
A52..,79.1
A52x.,79.1
A52y.,79.1
A52z.,79.1
A532.,369.2
A5323,369.2
A532z,369.2
A53x.,53.0
A53x1,53.0
A53xz,53.0
A53y.,53.0
A53z.,53.0
A54..,54.0
A540.,54.0
A541.,54.0
A5410,54.0
A5414,54.0
A5415,54.0
A541z,54.0
A542.,54.0
A544.,369.2
A544z,369.2
A54x.,79.0
A54x.,54.0
A54x0,79.0
A54x0,54.0
A54x3,54.0
A54xz,79.0
A54xz,54.0
A54z.,54.0
A55..,79.0
A55x.,79.0
A55xz,79.0
A55z.,79.0
A56..,79.0
A56z.,79.0
A57..,79.0
A570.,79.0
A57y0,79.0
A57y1,54.0
A57z.,79.0
A5z..,79.0
A6...,79.0
A60..,79.0
A62..,323.0
A620.,323.0
A621.,323.0
A623.,323.0
A63..,323.0
A632.,323.0
A65..,79.0
A652.,79.0
A660.,79.0
A661.,79.0
A6612,79.0
A661z,79.0
A6632,79.0
A70..,70.0
A703.,70.2
A7030,70.2
A705.,70.0
A7050,70.3
A7054,70.0
A706.,70.0
A7071,70.2
A70z.,70.0
A70z0,70.3
A72..,79.0
A72x.,79.0
A72xz,79.0
A74..,79.0
A740.,79.0
A741.,79.0
A743.,79.0
A74y.,79.0
A74z.,79.0
A76..,369.0
A77z.,369.2
A780.,79.0
A781.,78.0
A7810,78.0
A7811,78.0
A7812,78.0
A7813,78.0
A781z,78.0
A782.,79.0
A783.,79.0
A784.,79.0
A788.,71.1
A7880,71.1
A7880,79.0
A7880,136.0
A7892,71.1
A7892,112.0
A7893,480.3
A7893,71.1
A7895,230.0
A78A.,79.0
A78A0,90.3
A78y1,8.6
A78y2,79.0
A79..,79.0
A796.,79.0
A798.,79.0
A79z.,79.0
A7y01,79.0
A81..,136.0
A82..,136.0
A820z,136.0
A8220,136.0
A830.,480.1
A84..,133.0
A840.,133.0
A841.,133.0
A843.,133.0
A845.,133.0
A846.,133.0
A849.,133.0
A85z.,133.0
A86..,133.0
A871.,130.0
A8710,130.1
A90..,90.0
A900.,90.0
A901.,90.0
A904.,90.0
A907.,90.0
A910.,90.0
A914.,90.0
A918.,90.0
A919.,90.0
A94..,90.0
A94z.,90.0
A96..,90.0
A971.,90.0
A97z.,90.0
A98..,90.2
A980.,90.2
A9800,90.2
A9801,90.2
A9802,90.2
A980z,90.2
A9815,90.2
A9835,90.2
A984.,90.2
A98z.,90.2
A991.,90.0
A993.,711.2
A994.,90.0
AA0..,130.0
AA0z.,130.0
AA1..,130.0
AA12.,130.0
AA2..,130.0
AA22.,130.0
AA24.,130.0
AA25.,130.0
AA31.,130.0
AA4z.,130.0
AAz..,130.0
AB...,117.0
AB0..,110.1
AB00.,110.1
AB000,110.1
AB001,110.1
AB00z,110.1
AB01.,110.11
AB02.,110.1
AB03.,110.13
AB030,110.13
AB031,110.13
AB03z,110.13
AB05.,110.13
AB06.,110.1
AB0y.,110.1
AB0z.,110.1
AB1..,110.1
AB10.,110.2
AB12.,110.2
AB1y.,110.2
AB1z.,110.1
AB2..,112.0
AB200,112.0
AB201,112.0
AB20z,112.0
AB22.,112.0
AB221,112.0
AB22z,112.0
AB23.,112.3
AB230,112.3
AB231,112.3
AB232,112.3
AB233,112.3
AB23z,112.3
AB2y.,112.0
AB2y3,112.0
AB2yz,112.0
AB2z.,112.0
AB4..,117.1
AB52.,117.3
AB6..,117.0
AB61.,117.0
AB63.,117.4
AB640,41.0
AB671,117.0
AB6z.,117.0
ABz..,117.0
AC...,134.0
AC0..,134.0
AC0y.,134.0
AC0z.,134.0
AC2..,134.1
AC2z.,134.1
AC3..,134.1
AC31.,134.1
AC311,134.1
AC33.,134.1
AC50.,134.0
AC53.,134.0
AC5z.,134.0
AC7..,134.1
AC70.,134.1
AC72.,134.1
AC73.,134.1
AC75.,134.1
AC7z.,134.1
AC8z.,134.0
AD0..,131.0
AD0x.,131.0
AD0z.,131.0
AD1..,131.0
AD10.,131.0
AD102,131.0
AD10z,131.0
AD1y.,131.0
AD1z.,131.0
AD3..,132.0
AD30.,132.0
AD3y.,132.0
AD3z.,132.0
AD4..,132.0
AD40.,132.0
AD41.,132.0
AD42.,136.0
AD4z.,132.0
AD5..,697.0
AD52.,697.0
AD6..,132.0
AD60.,136.0
AD61.,711.3
AD6z.,136.0
AE...,136.0
AE00.,10.0
AE1..,324.0
AE21.,369.0
Ayu02,8.5
Ayu03,8.5
Ayu05,8.5
Ayu0E,8.6
Ayu0F,8.6
Ayu2C,41.0
Ayu32,31.0
Ayu33,31.0
Ayu36,41.0
Ayu38,41.0
Ayu3A,41.0
Ayu3E,38.1
Ayu3F,38.1
Ayu3J,994.2
Ayu3J,38.0
Ayu3L,41.0
Ayu3S,41.1
Ayu3T,41.2
Ayu3U,41.0
Ayu3W,41.0
Ayu45,90.0
Ayu46,90.0
Ayu4A,90.0
Ayu4C,90.2
Ayu4F,131.0
Ayu4G,54.0
Ayu4J,90.0
Ayu57,130.0
Ayu62,79.0
Ayu81,324.0
Ayu84,79.0
Ayu8A,323.0
Ayu8B,323.0
Ayu8C,320.0
Ayu8D,320.0
AyuA0,79.0
AyuA0,54.0
AyuA1,54.0
AyuA3,79.1
